accuracy,loss,val_accuracy,val_loss,learning_rate
0.4981299936771393,2.120346784591675,0.652999997138977,1.4045419692993164,9.999999747378752e-06
0.531279981136322,1.9385863542556763,0.6579999923706055,1.3698292970657349,9.999999747378752e-06
0.5447800159454346,1.8593982458114624,0.6581000089645386,1.3615213632583618,9.999999747378752e-06
0.5562300086021423,1.8058809041976929,0.6629999876022339,1.3424962759017944,9.999999747378752e-06
0.5670400261878967,1.754591703414917,0.6657000184059143,1.333986759185791,9.999999747378752e-06
0.575689971446991,1.7159634828567505,0.6686000227928162,1.3159302473068237,9.999999747378752e-06
0.5806199908256531,1.6897181272506714,0.671500027179718,1.3049237728118896,9.999999747378752e-06
0.5861700177192688,1.6548842191696167,0.6748999953269958,1.295562505722046,9.999999747378752e-06
0.5909199714660645,1.6296193599700928,0.6746000051498413,1.293495535850525,9.999999747378752e-06
0.5986899733543396,1.5999404191970825,0.6769000291824341,1.2910774946212769,9.999999747378752e-06
